STATE/UT,Year,CRIME HEAD,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Male Total,Female Total,Grand Total,
DELHI,2012,ARMS ACT,9,0,879,3,272,1,28,2,0,0,1188,6,1194,
LAKSHADWEEP,2012,ARMS ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
PUDUCHERRY,2012,ARMS ACT,2,0,209,0,20,0,1,0,0,0,232,0,232,
TOTAL (UTs),2012,ARMS ACT,11,0,1096,4,298,2,32,2,0,0,1437,8,1445,
TOTAL (ALL-INDIA),2012,ARMS ACT,198,0,36579,47,19738,24,4086,5,107,0,60708,76,60784,
ANDHRA PRADESH,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,4,0,386,22,340,28,104,12,21,0,855,62,917
ARUNACHAL PRADESH,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,32,0,13,0,0,0,0,0,45,0,45
ASSAM,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,3,0,60,4,85,6,20,2,0,0,168,12,180
BIHAR,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,10,0,298,8,256,4,70,0,0,0,634,12,646
CHHATTISGARH,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,4,0,211,7,188,14,90,5,10,1,503,27,530
GOA,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,27,0,23,0,5,0,1,0,56,0,56
GUJARAT,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,42,0,35,0,17,1,7,0,101,1,102
HARYANA,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,6,0,426,6,466,9,185,6,21,0,1104,21,1125
HIMACHAL PRADESH,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,8,0,286,2,232,7,78,4,20,2,624,15,639
JAMMU & KASHMIR,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,218,7,260,9,77,2,0,0,555,18,573
JHARKHAND,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,114,0,89,0,22,0,1,0,226,0,226
KARNATAKA,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,112,3,105,6,62,3,7,0,286,12,298
KERALA,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,2,0,277,4,380,7,142,10,16,1,817,22,839
MADHYA PRADESH,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,12,2,353,8,405,20,159,2,14,1,943,33,976
MAHARASHTRA,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,6,1,2174,14,1955,44,472,21,41,6,4648,86,4734
MANIPUR,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,24,12,35,10,4,1,1,1,64,24,88
MEGHALAYA,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,19,3,8,0,1,0,0,0,28,3,31
MIZORAM,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,5,3,87,21,58,16,17,7,0,0,167,47,214
NAGALAND,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,24,4,27,6,2,0,1,0,54,10,64
ODISHA,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,114,4,154,1,71,4,3,0,342,9,351
PUNJAB,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,7,1,4031,179,4552,239,2538,122,44,2,11172,543,11715
RAJASTHAN,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,9,0,621,9,669,13,195,2,8,3,1502,27,1529
SIKKIM,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,2,0,1,0,0,0,0,0,3,0,3
TAMIL NADU,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,1,569,38,530,108,275,90,55,16,1429,253,1682
TRIPURA,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,35,0,15,0,2,0,0,0,52,0,52
UTTAR PRADESH,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,5,0,3994,2,2361,11,490,0,0,0,6850,13,6863
UTTARAKHAND,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,125,1,167,6,30,0,0,0,322,7,329
WEST BENGAL,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,516,16,466,32,133,10,2,0,1117,58,1175
TOTAL (STATES),2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,81,8,15177,374,13875,596,5261,304,273,33,34667,1315,35982
A & N ISLANDS,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,1,0,5,0,2,0,0,0,0,0,8,0,8
CHANDIGARH,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,32,4,18,2,19,0,0,0,69,6,75
D & N HAVELI,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,2,0,547,8,323,22,52,7,1,0,925,37,962
LAKSHADWEEP,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,11,0,9,0,0,0,0,0,20,0,20
PUDUCHERRY,2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,0,0,7,0,1,0,0,0,0,0,8,0,8
TOTAL (UTs),2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,3,0,602,12,353,24,71,7,1,0,1030,43,1073
TOTAL (ALL-INDIA),2012,NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT,1985,84,8,15779,386,14228,620,5332,311,274,33,35697,1358,37055
ANDHRA PRADESH,2012,GAMBLING ACT,0,0,14567,2,17929,12,9203,1,403,0,42102,15,42117,
ARUNACHAL PRADESH,2012,GAMBLING ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,2012,GAMBLING ACT,0,0,79,0,121,0,13,0,0,0,213,0,213,
BIHAR,2012,GAMBLING ACT,11,0,346,0,230,0,75,0,2,0,664,0,664,
CHHATTISGARH,2012,GAMBLING ACT,52,0,11785,2,11441,5,4810,2,632,0,28720,9,28729,
GOA,2012,GAMBLING ACT,0,0,221,18,339,1,136,0,12,0,708,19,727,
GUJARAT,2012,GAMBLING ACT,70,0,16195,157,15821,243,6701,116,541,6,39328,522,39850,
HARYANA,2012,GAMBLING ACT,55,0,3169,0,3132,4,1333,0,75,0,7764,4,7768,
HIMACHAL PRADESH,2012,GAMBLING ACT,0,0,141,0,360,0,110,0,26,0,637,0,637,
JAMMU & KASHMIR,2012,GAMBLING ACT,0,0,205,0,373,0,105,0,0,0,683,0,683,
JHARKHAND,2012,GAMBLING ACT,3,0,280,0,211,0,55,0,0,0,549,0,549,
KARNATAKA,2012,GAMBLING ACT,6,0,11863,0,13069,6,5823,3,558,0,31319,9,31328,
KERALA,2012,GAMBLING ACT,0,0,5243,0,9154,0,4871,0,809,0,20077,0,20077,
MADHYA PRADESH,2012,GAMBLING ACT,84,0,31616,4,22878,6,9453,2,1004,0,65035,12,65047,
MAHARASHTRA,2012,GAMBLING ACT,88,0,16906,25,19423,32,8347,29,1116,4,45880,90,45970,
MANIPUR,2012,GAMBLING ACT,0,0,13,0,9,0,0,0,0,0,22,0,22,
MEGHALAYA,2012,GAMBLING ACT,0,0,10,0,6,0,4,0,0,0,20,0,20,
MIZORAM,2012,GAMBLING ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
NAGALAND,2012,GAMBLING ACT,0,0,2,0,0,0,0,0,0,0,2,0,2,
ODISHA,2012,GAMBLING ACT,4,0,1267,2,1348,9,761,3,32,0,3412,14,3426,
PUNJAB,2012,GAMBLING ACT,2,0,1626,0,1691,9,1162,1,0,1,4481,11,4492,
RAJASTHAN,2012,GAMBLING ACT,11,0,14481,0,10422,3,4027,4,230,0,29171,7,29178,
SIKKIM,2012,GAMBLING ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
TAMIL NADU,2012,GAMBLING ACT,8,0,8978,0,13419,0,4612,0,677,0,27694,0,27694,
TRIPURA,2012,GAMBLING ACT,0,0,7,0,8,0,11,0,0,0,26,0,26,
UTTAR PRADESH,2012,GAMBLING ACT,1,0,13507,0,7575,0,3118,2,115,0,24316,2,24318,
UTTARAKHAND,2012,GAMBLING ACT,12,0,266,0,325,0,70,0,1,0,674,0,674,
WEST BENGAL,2012,GAMBLING ACT,0,0,515,0,477,0,178,0,68,0,1238,0,1238,
TOTAL (STATES),2012,GAMBLING ACT,407,0,153288,210,149761,330,64978,163,6301,11,374735,714,375449,
A & N ISLANDS,2012,GAMBLING ACT,0,0,167,0,256,0,72,0,6,0,501,0,501,
CHANDIGARH,2012,GAMBLING ACT,0,0,236,0,157,0,62,0,16,0,471,0,471,
D & N HAVELI,2012,GAMBLING ACT,0,0,51,0,50,1,9,0,4,0,114,1,115,
DAMAN & DIU,2012,GAMBLING ACT,0,0,16,0,79,0,11,0,3,0,109,0,109,
DELHI,2012,GAMBLING ACT,2,0,1008,0,651,0,215,0,2,0,1878,0,1878,
LAKSHADWEEP,2012,GAMBLING ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
PUDUCHERRY,2012,GAMBLING ACT,0,0,53,0,76,0,32,0,5,0,166,0,166,
TOTAL (UTs),2012,GAMBLING ACT,2,0,1531,0,1269,1,401,0,36,0,3239,1,3240,
TOTAL (ALL-INDIA),2012,GAMBLING ACT,409,0,154819,210,151030,331,65379,163,6337,11,377974,715,378689,
ANDHRA PRADESH,2012,EXCISE ACT,17,0,2410,74,2946,159,1033,70,68,4,6474,307,6781,
ARUNACHAL PRADESH,2012,EXCISE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,2012,EXCISE ACT,0,0,9,0,20,0,0,0,0,0,29,0,29,
BIHAR,2012,EXCISE ACT,29,0,1260,39,1651,75,670,13,54,0,3664,127,3791,
CHHATTISGARH,2012,EXCISE ACT,29,2,4041,176,4846,290,2325,128,306,10,11547,606,12153,
GOA,2012,EXCISE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
GUJARAT,2012,EXCISE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
HARYANA,2012,EXCISE ACT,72,0,7128,3,8323,7,2791,1,402,0,18716,11,18727,
HIMACHAL PRADESH,2012,EXCISE ACT,1,0,442,25,898,85,632,61,67,4,2040,175,2215,
JAMMU & KASHMIR,2012,EXCISE ACT,0,0,240,11,228,19,66,10,5,1,539,41,580,
JHARKHAND,2012,EXCISE ACT,0,0,237,4,184,4,68,0,1,0,490,8,498,
KARNATAKA,2012,EXCISE ACT,1,0,1005,36,1325,93,546,39,85,2,2962,170,3132,
KERALA,2012,EXCISE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
MADHYA PRADESH,2012,EXCISE ACT,82,1,19953,542,15350,864,6121,358,494,28,42000,1793,43793,
MAHARASHTRA,2012,EXCISE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
MANIPUR,2012,EXCISE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
MEGHALAYA,2012,EXCISE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
MIZORAM,2012,EXCISE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
NAGALAND,2012,EXCISE ACT,0,0,15,0,9,1,3,0,0,0,27,1,28,
ODISHA,2012,EXCISE ACT,2,0,3300,130,3961,225,1809,87,154,2,9226,444,9670,
PUNJAB,2012,EXCISE ACT,1,0,2288,264,3067,340,2068,122,14,0,7438,726,8164,
RAJASTHAN,2012,EXCISE ACT,28,2,5943,141,5066,199,1832,62,170,11,13039,415,13454,
SIKKIM,2012,EXCISE ACT,0,0,35,3,46,6,14,0,0,0,95,9,104,
TAMIL NADU,2012,EXCISE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
TRIPURA,2012,EXCISE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
UTTAR PRADESH,2012,EXCISE ACT,3,0,17305,264,12732,203,4772,71,119,0,34931,538,35469,
UTTARAKHAND,2012,EXCISE ACT,14,0,963,7,1220,24,212,11,32,0,2441,42,2483,
WEST BENGAL,2012,EXCISE ACT,2,0,720,23,879,45,224,24,10,0,1835,92,1927,
TOTAL (STATES),2012,EXCISE ACT,281,5,67294,1742,62751,2639,25186,1057,1981,62,157493,5505,162998,
A & N ISLANDS,2012,EXCISE ACT,0,0,483,28,799,121,460,92,79,27,1821,268,2089,
CHANDIGARH,2012,EXCISE ACT,0,0,462,10,527,7,30,0,12,0,1031,17,1048,
D & N HAVELI,2012,EXCISE ACT,0,0,2,0,0,0,0,0,0,0,2,0,2,
DAMAN & DIU,2012,EXCISE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
DELHI,2012,EXCISE ACT,8,0,1014,35,688,100,169,40,5,1,1884,176,2060,
LAKSHADWEEP,2012,EXCISE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
PUDUCHERRY,2012,EXCISE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOTAL (UTs),2012,EXCISE ACT,8,0,1961,73,2014,228,659,132,96,28,4738,461,5199,
TOTAL (ALL-INDIA),2012,EXCISE ACT,289,5,69255,1815,64765,2867,25845,1189,2077,90,162231,5966,168197,
ANDHRA PRADESH,2012,PROHIBITION ACT,1,0,1073,42,847,71,605,37,75,1,2601,151,2752,
ARUNACHAL PRADESH,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
ASSAM,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
BIHAR,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHHATTISGARH,2012,PROHIBITION ACT,0,0,351,0,417,0,166,0,0,0,934,0,934,
GOA,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
GUJARAT,2012,PROHIBITION ACT,114,95,49175,18320,55997,35642,24819,17229,2254,1131,132359,72417,204776,
HARYANA,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
HIMACHAL PRADESH,2012,PROHIBITION ACT,0,0,0,0,1,0,0,0,0,0,1,0,1,
JAMMU & KASHMIR,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
JHARKHAND,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
KARNATAKA,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
KERALA,2012,PROHIBITION ACT,0,0,19929,123,26709,464,14353,47,2446,4,63437,638,64075,
MADHYA PRADESH,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
MAHARASHTRA,2012,PROHIBITION ACT,117,1,23353,1328,29724,3879,13888,2161,2159,397,69241,7766,77007,
MANIPUR,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
MEGHALAYA,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
MIZORAM,2012,PROHIBITION ACT,2,0,31,3,27,8,3,0,2,0,65,11,76,
NAGALAND,2012,PROHIBITION ACT,0,0,37,5,32,3,7,1,2,0,78,9,87,
ODISHA,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
PUNJAB,2012,PROHIBITION ACT,0,0,1,0,5,0,3,0,0,0,9,0,9,
RAJASTHAN,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
SIKKIM,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
TAMIL NADU,2012,PROHIBITION ACT,5,2,24189,1962,34538,3513,19897,2076,1998,233,80627,7786,88413,
TRIPURA,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
UTTAR PRADESH,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
UTTARAKHAND,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
WEST BENGAL,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOTAL (STATES),2012,PROHIBITION ACT,239,98,118139,21783,148297,43580,73741,21551,8936,1766,349352,88778,438130,
A & N ISLANDS,2012,PROHIBITION ACT,0,0,21,0,16,0,5,0,0,0,42,0,42,
CHANDIGARH,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
D & N HAVELI,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
DAMAN & DIU,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
DELHI,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAKSHADWEEP,2012,PROHIBITION ACT,0,0,10,0,7,0,2,0,0,0,19,0,19,
PUDUCHERRY,2012,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOTAL (UTs),2012,PROHIBITION ACT,0,0,31,0,23,0,7,0,0,0,61,0,61,
TOTAL (ALL-INDIA),2012,PROHIBITION ACT,239,98,118170,21783,148320,43580,73748,21551,8936,1766,349413,88778,438191,
ANDHRA PRADESH,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,1,0,134,0,149,2,69,1,4,0,357,3,360
ARUNACHAL PRADESH,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,4,0,0,0,0,0,0,0,4,0,4
ASSAM,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,1,0,50,0,53,0,2,0,1,0,107,0,107
BIHAR,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,1,0,209,0,158,0,87,0,0,0,455,0,455
CHHATTISGARH,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,56,0,98,3,16,1,5,0,175,4,179
GOA,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,32,0,43,0,5,0,1,0,81,0,81
HARYANA,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,20,0,20,0,6,1,3,0,49,1,50
HIMACHAL PRADESH,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,1,0,0,0,0,0,0,0,1,0,1
JAMMU & KASHMIR,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,9,0,17,0,1,0,0,0,27,0,27
JHARKHAND,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,2,0,60,0,42,1,3,0,0,0,107,1,108
KARNATAKA,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,46,0,119,2,72,1,4,0,241,3,244
KERALA,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,4,0,81,0,211,0,99,0,27,0,422,0,422
MADHYA PRADESH,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,1,0,136,4,98,0,44,1,0,0,279,5,284
MAHARASHTRA,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,1,0,54,0,47,0,8,0,0,1,110,1,111
MANIPUR,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,1,0,0,0,0,0,0,0,1,0,1
MEGHALAYA,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,7,0,3,0,9,0,0,0,19,0,19
NAGALAND,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,2,0,4,0,0,0,0,0,6,0,6
ODISHA,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,2,0,303,3,275,3,71,0,0,0,651,6,657
PUNJAB,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,6,0,9,0,1,0,0,0,16,0,16
RAJASTHAN,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,245,0,277,0,107,0,0,0,629,0,629
SIKKIM,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,1,0,0,0,0,0,0,0,1,0,1
TAMIL NADU,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,2,0,420,2,365,1,92,0,13,0,892,3,895
TRIPURA,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,350,0,251,0,26,0,0,0,627,0,627
UTTARAKHAND,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,3,0,0,0,0,0,0,0,3,0,3
WEST BENGAL,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,1,0,65,2,73,0,30,0,0,0,169,2,171
TOTAL (STATES),2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,16,0,2295,11,2312,12,748,5,58,1,5429,29,5458
A & N ISLANDS,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,6,0,3,0,0,0,0,0,9,0,9
LAKSHADWEEP,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,1,0,0,0,0,0,0,0,1,0,1
PUDUCHERRY,2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,15,0,4,0,0,0,0,0,19,0,19
TOTAL (UTs),2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,0,0,22,0,7,0,0,0,0,0,29,0,29
TOTAL (ALL-INDIA),2012,EXPLOSIVES and EXPLOSIVE SUBSTANCES ACT, 1884 and 1908,16,0,2317,11,2319,12,748,5,58,1,5458,29,5487
ANDHRA PRADESH,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,501,253,337,165,71,23,3,1,912,442,1354
ARUNACHAL PRADESH,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,1,0,0,0,0,0,0,0,1,0,1
