STATE/UT,Year,CRIME HEAD,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Male Total,Female Total,Grand Total,
Daman & Diu,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,2013,Antiquity & Art Treasures Act,1972,0,0,3,0,0,0,0,0,0,0,3,0,3
Lakshadweep,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2013,Antiquity & Art Treasures Act,1972,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),2013,Antiquity & Art Treasures Act,1972,0,0,3,0,0,0,0,0,0,0,3,0,3
Total (All-India),2013,Antiquity & Art Treasures Act,1972,0,0,32,0,41,0,16,1,1,0,90,1,91
Andhra Pradesh,2013,Arms Act,1959,2,0,199,0,141,3,28,0,1,0,371,3,374
Arunachal Pradesh,2013,Arms Act,1959,0,0,4,0,6,0,0,0,0,0,10,0,10
Assam,2013,Arms Act,1959,9,1,261,0,278,0,14,0,0,0,562,1,563
Bihar,2013,Arms Act,1959,58,0,1337,0,782,0,126,0,3,0,2306,0,2306
Chhattisgarh,2013,Arms Act,1959,11,0,537,0,356,1,71,1,1,0,976,2,978
Goa,2013,Arms Act,1959,0,0,8,0,3,0,0,0,1,0,12,0,12
Gujarat,2013,Arms Act,1959,2,0,275,0,255,0,46,0,5,0,583,0,583
Haryana,2013,Arms Act,1959,8,0,814,0,567,0,143,0,7,0,1539,0,1539
Himachal Pradesh,2013,Arms Act,1959,0,0,19,0,11,0,2,0,1,0,33,0,33
Jammu & Kashmir,2013,Arms Act,1959,0,0,106,0,74,1,26,0,0,0,206,1,207
Jharkhand,2013,Arms Act,1959,11,0,573,1,403,0,51,0,0,0,1038,1,1039
Karnataka,2013,Arms Act,1959,1,0,42,0,112,0,28,0,4,0,187,0,187
Kerala,2013,Arms Act,1959,3,0,203,0,147,0,47,0,7,0,407,0,407
Madhya Pradesh,2013,Arms Act,1959,42,0,7404,3,4342,7,1189,1,38,0,13015,11,13026
Maharashtra,2013,Arms Act,1959,14,1,933,2,384,4,64,0,6,0,1401,7,1408
Manipur,2013,Arms Act,1959,0,0,8,0,10,0,3,0,0,1,21,1,22
Meghalaya,2013,Arms Act,1959,0,0,21,0,5,0,0,0,1,0,27,0,27
Mizoram,2013,Arms Act,1959,0,0,14,0,31,2,12,1,1,0,58,3,61
Nagaland,2013,Arms Act,1959,1,0,139,2,99,3,18,0,4,1,261,6,267
Odisha,2013,Arms Act,1959,0,0,627,9,459,3,142,0,10,0,1238,12,1250
Punjab,2013,Arms Act,1959,2,0,348,0,287,2,103,0,0,0,740,2,742
Rajasthan,2013,Arms Act,1959,12,0,2888,0,1983,0,582,0,36,0,5501,0,5501
Sikkim,2013,Arms Act,1959,0,0,0,0,2,0,0,0,0,0,2,0,2
Tamil Nadu,2013,Arms Act,1959,5,0,104,0,138,0,35,1,2,0,284,1,285
Tripura,2013,Arms Act,1959,0,0,19,0,4,0,0,0,0,0,23,0,23
Uttar Pradesh,2013,Arms Act,1959,39,0,13971,0,7443,5,1520,0,5,0,22978,5,22983
Uttarakhand,2013,Arms Act,1959,7,0,280,0,281,0,32,0,0,0,600,0,600
West Bengal,2013,Arms Act,1959,12,0,1341,1,1479,0,352,0,1,0,3185,1,3186
Total (State),2013,Arms Act,1959,239,2,32475,18,20082,31,4634,4,134,2,57564,57,57621
A&N Islands,2013,Arms Act,1959,0,0,0,0,4,0,1,0,0,0,5,0,5
Chandigarh,2013,Arms Act,1959,1,0,9,0,8,0,4,0,0,0,22,0,22
D&N Haveli,2013,Arms Act,1959,0,0,1,0,0,0,0,0,0,0,1,0,1
Daman & Diu,2013,Arms Act,1959,0,0,1,0,0,0,0,0,0,0,1,0,1
Delhi UT,2013,Arms Act,1959,2,0,788,7,261,6,22,0,0,0,1073,13,1086
Lakshadweep,2013,Arms Act,1959,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2013,Arms Act,1959,0,0,104,0,136,0,1,0,0,0,241,0,241
Total (UTs),2013,Arms Act,1959,3,0,903,7,409,6,28,0,0,0,1343,13,1356
Total (All-India),2013,Arms Act,1959,242,2,33378,25,20491,37,4662,4,134,2,58907,70,58977
Andhra Pradesh,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (State),2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
A&N Islands,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),2013,Commission of Sati (P) Act,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2013,Copyright Act,1957,2,0,439,6,334,3,82,0,3,0,860,9,869
Arunachal Pradesh,2013,Copyright Act,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2013,Copyright Act,1957,0,0,0,0,8,0,0,0,0,0,8,0,8
Bihar,2013,Copyright Act,1957,0,0,10,0,16,0,3,0,0,0,29,0,29
Chhattisgarh,2013,Copyright Act,1957,0,0,4,0,10,0,1,0,0,0,15,0,15
Goa,2013,Copyright Act,1957,0,0,3,0,7,0,0,0,0,0,10,0,10
Gujarat,2013,Copyright Act,1957,0,0,227,0,192,0,24,0,0,0,443,0,443
Haryana,2013,Copyright Act,1957,0,0,50,0,49,0,15,0,0,0,114,0,114
Himachal Pradesh,2013,Copyright Act,1957,0,0,2,0,2,0,0,0,0,0,4,0,4
Jammu & Kashmir,2013,Copyright Act,1957,0,0,3,0,1,0,0,0,0,0,4,0,4
Jharkhand,2013,Copyright Act,1957,0,0,15,0,11,0,2,0,0,0,28,0,28
Karnataka,2013,Copyright Act,1957,0,0,187,4,161,4,46,1,1,0,395,9,404
Kerala,2013,Copyright Act,1957,0,0,62,0,66,0,18,0,1,0,147,0,147
Madhya Pradesh,2013,Copyright Act,1957,1,0,50,0,47,0,12,0,1,0,111,0,111
Maharashtra,2013,Copyright Act,1957,2,0,281,0,236,1,58,0,4,0,581,1,582
Manipur,2013,Copyright Act,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,Copyright Act,1957,0,0,1,0,2,0,0,0,0,0,3,0,3
Mizoram,2013,Copyright Act,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,Copyright Act,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2013,Copyright Act,1957,0,0,0,0,8,0,5,0,0,0,13,0,13
Punjab,2013,Copyright Act,1957,0,0,120,42,119,4,30,0,0,0,269,46,315
Rajasthan,2013,Copyright Act,1957,6,0,159,7,142,2,15,1,0,1,322,11,333
Sikkim,2013,Copyright Act,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2013,Copyright Act,1957,10,0,1324,4,1142,7,296,0,4,0,2776,11,2787
Tripura,2013,Copyright Act,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2013,Copyright Act,1957,1,0,176,0,116,0,19,0,0,0,312,0,312
Uttarakhand,2013,Copyright Act,1957,0,0,0,0,7,0,0,0,0,0,7,0,7
West Bengal,2013,Copyright Act,1957,1,0,167,0,198,0,77,0,9,0,452,0,452
Total (State),2013,Copyright Act,1957,23,0,3280,63,2874,21,703,2,23,1,6903,87,6990
A&N Islands,2013,Copyright Act,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2013,Copyright Act,1957,0,0,9,0,10,0,2,0,0,0,21,0,21
D&N Haveli,2013,Copyright Act,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2013,Copyright Act,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,2013,Copyright Act,1957,0,0,32,0,63,1,26,4,0,0,121,5,126
Lakshadweep,2013,Copyright Act,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2013,Copyright Act,1957,0,0,6,0,1,0,1,0,0,0,8,0,8
Total (UTs),2013,Copyright Act,1957,0,0,47,0,74,1,29,4,0,0,150,5,155
Total (All-India),2013,Copyright Act,1957,23,0,3327,63,2948,22,732,6,23,1,7053,92,7145
Andhra Pradesh,2013,Dowry Prohibition Act,1961,0,0,553,98,838,148,367,115,40,37,1798,398,2196
Arunachal Pradesh,2013,Dowry Prohibition Act,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2013,Dowry Prohibition Act,1961,0,0,67,0,81,0,10,0,0,0,158,0,158
Bihar,2013,Dowry Prohibition Act,1961,4,0,1611,195,994,235,508,234,17,17,3134,681,3815
Chhattisgarh,2013,Dowry Prohibition Act,1961,0,0,8,5,6,1,4,4,1,0,19,10,29
Goa,2013,Dowry Prohibition Act,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2013,Dowry Prohibition Act,1961,0,0,47,19,54,25,81,59,8,3,190,106,296
Haryana,2013,Dowry Prohibition Act,1961,0,0,10,1,2,0,1,1,0,0,13,2,15
Himachal Pradesh,2013,Dowry Prohibition Act,1961,0,0,1,0,0,0,0,0,0,0,1,0,1
Jammu & Kashmir,2013,Dowry Prohibition Act,1961,0,0,0,0,2,0,0,0,0,0,2,0,2
Jharkhand,2013,Dowry Prohibition Act,1961,0,2,683,98,727,125,276,78,21,29,1707,332,2039
Karnataka,2013,Dowry Prohibition Act,1961,0,0,755,205,1135,438,606,322,180,114,2676,1079,3755
Kerala,2013,Dowry Prohibition Act,1961,0,0,0,0,2,0,0,0,0,0,2,0,2
Madhya Pradesh,2013,Dowry Prohibition Act,1961,0,1,73,20,42,24,18,24,5,2,138,71,209
Maharashtra,2013,Dowry Prohibition Act,1961,0,0,41,10,36,10,17,3,2,2,96,25,121
Manipur,2013,Dowry Prohibition Act,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,Dowry Prohibition Act,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2013,Dowry Prohibition Act,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,Dowry Prohibition Act,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2013,Dowry Prohibition Act,1961,1,0,700,203,1009,346,621,168,97,50,2428,767,3195
Punjab,2013,Dowry Prohibition Act,1961,0,0,1,1,2,1,3,2,0,0,6,4,10
Rajasthan,2013,Dowry Prohibition Act,1961,0,0,33,4,9,5,0,0,2,0,44,9,53
Sikkim,2013,Dowry Prohibition Act,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2013,Dowry Prohibition Act,1961,0,0,179,22,146,40,73,44,13,7,411,113,524
Tripura,2013,Dowry Prohibition Act,1961,0,0,1,0,0,0,0,0,0,0,1,0,1
Uttar Pradesh,2013,Dowry Prohibition Act,1961,0,1,2193,222,1449,214,992,155,191,9,4825,601,5426
Uttarakhand,2013,Dowry Prohibition Act,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2013,Dowry Prohibition Act,1961,0,0,136,17,89,4,18,4,0,0,243,25,268
Total (State),2013,Dowry Prohibition Act,1961,5,4,7092,1120,6623,1616,3595,1213,577,270,17892,4223,22115
A&N Islands,2013,Dowry Prohibition Act,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2013,Dowry Prohibition Act,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2013,Dowry Prohibition Act,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2013,Dowry Prohibition Act,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,2013,Dowry Prohibition Act,1961,0,0,3,0,7,1,0,0,0,0,10,1,11
Lakshadweep,2013,Dowry Prohibition Act,1961,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2013,Dowry Prohibition Act,1961,0,0,2,1,8,2,3,4,3,2,16,9,25
Total (UTs),2013,Dowry Prohibition Act,1961,0,0,5,1,15,3,3,4,3,2,26,10,36
Total (All-India),2013,Dowry Prohibition Act,1961,5,4,7097,1121,6638,1619,3598,1217,580,272,17918,4233,22151
Andhra Pradesh,2013,Essential Commodities Act,1955,0,0,90,1,114,1,19,1,1,0,224,3,227
Arunachal Pradesh,2013,Essential Commodities Act,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2013,Essential Commodities Act,1955,0,0,7,0,19,0,8,0,0,0,34,0,34
Bihar,2013,Essential Commodities Act,1955,0,0,271,1,334,0,183,0,32,0,820,1,821
Chhattisgarh,2013,Essential Commodities Act,1955,3,0,47,1,52,1,18,0,1,0,121,2,123
Goa,2013,Essential Commodities Act,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2013,Essential Commodities Act,1955,0,0,65,1,91,1,25,0,3,0,184,2,186
Haryana,2013,Essential Commodities Act,1955,0,0,38,0,73,0,25,2,6,1,142,3,145
Himachal Pradesh,2013,Essential Commodities Act,1955,0,0,8,0,5,0,5,0,0,0,18,0,18
Jammu & Kashmir,2013,Essential Commodities Act,1955,0,0,71,0,130,0,49,0,3,0,253,0,253
Jharkhand,2013,Essential Commodities Act,1955,0,0,21,0,81,2,9,0,0,0,111,2,113
Karnataka,2013,Essential Commodities Act,1955,0,0,198,0,247,2,155,1,11,0,611,3,614
Kerala,2013,Essential Commodities Act,1955,0,0,28,0,133,2,75,1,10,0,246,3,249
Madhya Pradesh,2013,Essential Commodities Act,1955,0,0,127,0,125,1,30,1,1,0,283,2,285
Maharashtra,2013,Essential Commodities Act,1955,5,0,752,8,695,20,230,2,31,7,1713,37,1750
Manipur,2013,Essential Commodities Act,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,Essential Commodities Act,1955,0,0,0,0,3,0,4,0,0,0,7,0,7
Mizoram,2013,Essential Commodities Act,1955,0,0,0,0,1,0,0,0,0,0,1,0,1
Nagaland,2013,Essential Commodities Act,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2013,Essential Commodities Act,1955,0,0,56,0,102,1,28,0,5,0,191,1,192
Punjab,2013,Essential Commodities Act,1955,0,0,31,0,131,1,38,0,0,0,200,1,201
Rajasthan,2013,Essential Commodities Act,1955,0,0,74,0,88,0,17,0,1,0,180,0,180
Sikkim,2013,Essential Commodities Act,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2013,Essential Commodities Act,1955,0,0,14,0,40,0,11,0,1,0,66,0,66
Tripura,2013,Essential Commodities Act,1955,8,0,34,0,70,0,25,0,0,0,137,0,137
Uttar Pradesh,2013,Essential Commodities Act,1955,0,0,731,1,758,5,352,1,4,0,1845,7,1852
Uttarakhand,2013,Essential Commodities Act,1955,0,0,25,0,10,0,0,0,0,0,35,0,35
West Bengal,2013,Essential Commodities Act,1955,0,0,67,0,120,0,65,0,3,0,255,0,255
Total (State),2013,Essential Commodities Act,1955,16,0,2755,13,3422,37,1371,9,113,8,7677,67,7744
A&N Islands,2013,Essential Commodities Act,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2013,Essential Commodities Act,1955,0,0,2,0,2,0,3,0,0,0,7,0,7
D&N Haveli,2013,Essential Commodities Act,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2013,Essential Commodities Act,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,2013,Essential Commodities Act,1955,0,0,6,2,10,3,1,0,0,0,17,5,22
Lakshadweep,2013,Essential Commodities Act,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2013,Essential Commodities Act,1955,0,0,15,0,19,2,11,0,0,0,45,2,47
Total (UTs),2013,Essential Commodities Act,1955,0,0,23,2,31,5,15,0,0,0,69,7,76
Total (All-India),2013,Essential Commodities Act,1955,16,0,2778,15,3453,42,1386,9,113,8,7746,74,7820
Andhra Pradesh,2013,Excise Act,1,0,3205,160,4221,387,1422,193,174,21,9023,761,9784,
Arunachal Pradesh,2013,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Assam,2013,Excise Act,0,0,2,0,12,0,1,0,0,0,15,0,15,
Bihar,2013,Excise Act,38,10,1353,53,1178,31,1216,33,27,0,3812,127,3939,
Chhattisgarh,2013,Excise Act,36,0,5381,190,6076,348,2558,126,191,9,14242,673,14915,
Goa,2013,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gujarat,2013,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Haryana,2013,Excise Act,50,0,9285,3,10270,2,3235,0,337,0,23177,5,23182,
Himachal Pradesh,2013,Excise Act,0,0,223,6,310,43,154,19,20,1,707,69,776,
Jammu & Kashmir,2013,Excise Act,0,0,185,3,251,13,84,5,3,0,523,21,544,
Jharkhand,2013,Excise Act,0,0,194,0,255,0,99,0,3,0,551,0,551,
Karnataka,2013,Excise Act,1,0,1323,50,1803,52,1020,49,67,5,4214,156,4370,
Kerala,2013,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Madhya Pradesh,2013,Excise Act,122,8,23453,710,18189,1325,7030,487,658,48,49452,2578,52030,
Maharashtra,2013,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Manipur,2013,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Meghalaya,2013,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mizoram,2013,Excise Act,0,0,2,0,0,0,0,0,0,0,2,0,2,
Nagaland,2013,Excise Act,0,0,17,4,15,4,1,0,0,0,33,8,41,
Odisha,2013,Excise Act,5,0,3851,104,4559,328,2302,111,206,2,10923,545,11468,
Punjab,2013,Excise Act,4,0,2567,286,2657,348,1233,93,12,0,6473,727,7200,
Rajasthan,2013,Excise Act,32,0,5708,116,5039,207,1979,46,219,17,12977,386,13363,
Sikkim,2013,Excise Act,0,0,41,5,53,10,11,0,0,0,105,15,120,
Tamil Nadu,2013,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tripura,2013,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Uttar Pradesh,2013,Excise Act,8,0,17541,213,11347,369,4502,75,154,14,33552,671,34223,
Uttarakhand,2013,Excise Act,0,0,530,12,996,14,680,10,18,2,2224,38,2262,
West Bengal,2013,Excise Act,2,0,836,36,1246,62,328,24,3,0,2415,122,2537,
Total (State),2013,Excise Act,299,18,75697,1951,68477,3543,27855,1271,2092,119,174420,6902,181322,
A&N Islands,2013,Excise Act,0,0,380,10,720,78,492,91,105,37,1697,216,1913,
Chandigarh,2013,Excise Act,1,0,384,13,267,9,31,3,0,0,683,25,708,
D&N Haveli,2013,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daman & Diu,2013,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Delhi UT,2013,Excise Act,10,0,1025,29,744,122,159,22,9,2,1947,175,2122,
Lakshadweep,2013,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Puducherry,2013,Excise Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total (UTs),2013,Excise Act,11,0,1789,52,1731,209,682,116,114,39,4327,416,4743,
Total (All-India),2013,Excise Act,310,18,77486,2003,70208,3752,28537,1387,2206,158,178747,7318,186065,
Andhra Pradesh,2013,Explosives Substances Act 1908,1,0,137,0,182,1,48,0,5,0,373,1,374,
Arunachal Pradesh,2013,Explosives Substances Act 1908,0,0,0,0,0,0,0,0,0,0,0,0,0,
Assam,2013,Explosives Substances Act 1908,1,0,45,0,75,0,5,0,0,0,126,0,126,
Bihar,2013,Explosives Substances Act 1908,2,0,92,0,60,0,8,0,0,0,162,0,162,
Chhattisgarh,2013,Explosives Substances Act 1908,0,0,64,0,109,0,34,1,4,0,211,1,212,
Goa,2013,Explosives Substances Act 1908,0,0,1,0,2,0,1,0,0,0,4,0,4,
Gujarat,2013,Explosives Substances Act 1908,0,0,31,0,33,0,5,2,0,0,69,2,71,
Haryana,2013,Explosives Substances Act 1908,0,0,21,0,49,0,18,1,1,0,89,1,90,
Himachal Pradesh,2013,Explosives Substances Act 1908,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jammu & Kashmir,2013,Explosives Substances Act 1908,0,0,15,0,8,0,2,0,0,0,25,0,25,
Jharkhand,2013,Explosives Substances Act 1908,0,0,58,0,58,0,10,0,0,0,126,0,126,
