STATE/UT,CRIME HEAD,Year,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Male Total,Female Total,Grand Total
HIMACHAL PRADESH,ATTEMPT TO COMMIT MURDER ,2012,0,0,66,0,32,0,10,0,1,0,109,0,109
JAMMU & KASHMIR,ATTEMPT TO COMMIT MURDER ,2012,4,0,325,22,468,41,251,14,7,2,1055,79,1134
JHARKHAND,ATTEMPT TO COMMIT MURDER ,2012,11,0,583,42,526,40,220,20,10,0,1350,102,1452
KARNATAKA,ATTEMPT TO COMMIT MURDER ,2012,53,0,1856,69,1755,158,776,93,169,10,4609,330,4939
KERALA,ATTEMPT TO COMMIT MURDER ,2012,16,0,676,169,578,83,169,16,9,0,1448,268,1716
MADHYA PRADESH,ATTEMPT TO COMMIT MURDER ,2012,181,3,2869,83,2309,122,918,42,170,5,6447,255,6702
MAHARASHTRA,ATTEMPT TO COMMIT MURDER ,2012,183,5,3582,147,2385,226,985,102,125,31,7260,511,7771
MANIPUR,ATTEMPT TO COMMIT MURDER ,2012,0,0,50,1,49,2,8,0,1,0,108,3,111
MEGHALAYA,ATTEMPT TO COMMIT MURDER ,2012,0,0,23,0,11,0,3,0,0,0,37,0,37
MIZORAM,ATTEMPT TO COMMIT MURDER ,2012,1,0,2,0,7,0,4,0,0,0,14,0,14
NAGALAND,ATTEMPT TO COMMIT MURDER ,2012,0,0,25,0,16,0,1,0,0,0,42,0,42
ODISHA,ATTEMPT TO COMMIT MURDER ,2012,19,2,1246,51,1281,76,616,21,31,0,3193,150,3343
PUNJAB,ATTEMPT TO COMMIT MURDER ,2012,9,0,778,58,799,78,504,39,33,0,2123,175,2298
RAJASTHAN,ATTEMPT TO COMMIT MURDER ,2012,106,0,1601,56,1202,61,489,13,78,1,3476,131,3607
SIKKIM,ATTEMPT TO COMMIT MURDER ,2012,0,0,2,0,6,0,0,0,0,0,8,0,8
TAMIL NADU,ATTEMPT TO COMMIT MURDER ,2012,72,0,2315,106,2589,150,1287,56,174,4,6437,316,6753
TRIPURA,ATTEMPT TO COMMIT MURDER ,2012,0,0,40,0,30,2,10,0,2,0,82,2,84
UTTAR PRADESH,ATTEMPT TO COMMIT MURDER ,2012,18,1,6935,25,4173,33,1852,16,62,1,13040,76,13116
UTTARAKHAND,ATTEMPT TO COMMIT MURDER ,2012,6,0,111,2,148,5,21,0,0,0,286,7,293
WEST BENGAL,ATTEMPT TO COMMIT MURDER ,2012,26,3,1007,118,1608,99,738,42,60,1,3439,263,3702
TOTAL (STATES),ATTEMPT TO COMMIT MURDER ,2012,1003,43,33890,1473,27921,1781,13004,700,1550,84,77368,4081,81449
A & N ISLANDS,ATTEMPT TO COMMIT MURDER ,2012,0,0,6,0,2,0,0,1,0,0,8,1,9
CHANDIGARH,ATTEMPT TO COMMIT MURDER ,2012,9,1,49,2,41,2,14,0,0,0,113,5,118
D & N HAVELI,ATTEMPT TO COMMIT MURDER ,2012,1,0,2,0,0,0,0,0,0,0,3,0,3
DAMAN & DIU,ATTEMPT TO COMMIT MURDER ,2012,0,0,4,0,3,0,0,0,0,0,7,0,7
DELHI,ATTEMPT TO COMMIT MURDER ,2012,74,0,582,9,248,1,28,6,0,2,932,18,950
LAKSHADWEEP,ATTEMPT TO COMMIT MURDER ,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,ATTEMPT TO COMMIT MURDER ,2012,1,0,89,0,40,0,3,0,0,0,133,0,133
TOTAL (UTs),ATTEMPT TO COMMIT MURDER ,2012,85,1,732,11,334,3,45,7,0,2,1196,24,1220
TOTAL (ALL-INDIA),ATTEMPT TO COMMIT MURDER ,2012,1088,44,34622,1484,28255,1784,13049,707,1550,86,78564,4105,82669
ANDHRA PRADESH,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),2,0,101,3,144,5,34,4,3,0,284,12,296,,,,,,,,,,,,
ARUNACHAL PRADESH,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,0,0,1,0,0,0,0,0,1,0,1,,,,,,,,,,,,
ASSAM,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,21,0,28,0,3,0,0,0,52,0,52,,,,,,,,,,,,
BIHAR,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),2,0,183,5,229,5,100,3,0,0,514,13,527,,,,,,,,,,,,
CHHATTISGARH,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),2,0,14,0,15,0,3,0,1,0,35,0,35,,,,,,,,,,,,
GOA,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,1,0,1,0,2,0,1,0,5,0,5,,,,,,,,,,,,
GUJARAT,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,25,0,29,1,5,1,1,0,60,2,62,,,,,,,,,,,,
HARYANA,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),1,0,40,0,34,3,9,1,4,0,88,4,92,,,,,,,,,,,,
HIMACHAL PRADESH,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,4,0,9,0,6,0,1,0,20,0,20,,,,,,,,,,,,
JAMMU & KASHMIR,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,1,0,13,0,8,0,0,0,22,0,22,,,,,,,,,,,,
JHARKHAND,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,45,2,63,3,15,0,0,0,123,5,128,,,,,,,,,,,,
KARNATAKA,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,23,0,39,1,17,1,3,0,82,2,84,,,,,,,,,,,,
KERALA,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),1,0,58,2,79,1,25,1,1,0,164,4,168,,,,,,,,,,,,
MADHYA PRADESH,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),5,0,66,3,78,1,35,1,0,1,184,6,190,,,,,,,,,,,,
MAHARASHTRA,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),8,0,110,16,144,16,61,9,3,0,326,41,367,,,,,,,,,,,,
MANIPUR,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,4,0,4,0,0,0,0,0,8,0,8,,,,,,,,,,,,
MEGHALAYA,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),1,0,3,0,3,0,0,0,0,0,7,0,7,,,,,,,,,,,,
MIZORAM,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),1,0,3,0,4,0,3,0,0,0,11,0,11,,,,,,,,,,,,
NAGALAND,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,15,0,1,0,0,0,0,0,16,0,16,,,,,,,,,,,,
ODISHA,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),3,0,21,3,38,11,9,4,1,1,72,19,91,,,,,,,,,,,,
PUNJAB,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),1,0,44,7,77,4,21,3,0,0,143,14,157,,,,,,,,,,,,
RAJASTHAN,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),1,0,44,0,41,0,4,1,0,0,90,1,91,,,,,,,,,,,,
SIKKIM,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
TAMIL NADU,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,15,2,19,3,3,0,3,0,40,5,45,,,,,,,,,,,,
TRIPURA,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,0,0,1,0,0,0,0,0,1,0,1,,,,,,,,,,,,
UTTAR PRADESH,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),11,2,1943,10,1251,11,605,2,13,1,3823,26,3849,,,,,,,,,,,,
UTTARAKHAND,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),1,0,22,2,33,2,3,0,1,0,60,4,64,,,,,,,,,,,,
WEST BENGAL,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),2,1,258,7,255,11,90,4,5,0,610,23,633,,,,,,,,,,,,
TOTAL (STATES),CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),42,3,3064,62,2633,78,1061,35,41,3,6841,181,7022,,,,,,,,,,,,
A & N ISLANDS,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
CHANDIGARH,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,6,0,6,0,0,0,0,0,12,0,12,,,,,,,,,,,,
D & N HAVELI,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
DAMAN & DIU,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
DELHI,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),5,1,46,1,34,1,4,0,1,0,90,3,93,,,,,,,,,,,,
LAKSHADWEEP,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
PUDUCHERRY,CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),1,0,5,1,8,0,4,1,1,0,19,2,21,,,,,,,,,,,,
TOTAL (UTs),CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),6,1,57,2,48,1,8,1,2,0,121,5,126,,,,,,,,,,,,
TOTAL (ALL-INDIA),CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304,2012, 308 IPC),48,4,3121,64,2681,79,1069,36,43,3,6962,186,7148,,,,,,,,,,,,
ANDHRA PRADESH,RAPE (SECTION 376 IPC),2012,81,0,993,77,347,31,111,16,8,0,1540,124,1664
ARUNACHAL PRADESH,RAPE (SECTION 376 IPC),2012,2,0,41,0,4,0,0,0,0,0,47,0,47
ASSAM,RAPE (SECTION 376 IPC),2012,58,0,746,0,642,2,178,0,0,0,1624,2,1626
BIHAR,RAPE (SECTION 376 IPC),2012,31,0,829,0,416,0,49,0,2,0,1327,0,1327
CHHATTISGARH,RAPE (SECTION 376 IPC),2012,0,0,115,19,505,0,575,0,0,0,1195,19,1214
GOA,RAPE (SECTION 376 IPC),2012,2,0,42,3,9,0,4,0,1,0,58,3,61
GUJARAT,RAPE (SECTION 376 IPC),2012,23,0,406,5,163,11,34,3,2,0,628,19,647
HARYANA,RAPE (SECTION 376 IPC),2012,44,1,569,16,234,20,46,4,5,1,898,42,940
HIMACHAL PRADESH,RAPE (SECTION 376 IPC),2012,13,0,151,4,69,6,12,2,2,0,247,12,259
JAMMU & KASHMIR,RAPE (SECTION 376 IPC),2012,3,0,210,11,123,16,21,3,1,0,358,30,388
JHARKHAND,RAPE (SECTION 376 IPC),2012,24,0,512,10,186,6,38,4,0,0,760,20,780
KARNATAKA,RAPE (SECTION 376 IPC),2012,13,0,437,25,233,29,89,5,10,1,782,60,842
KERALA,RAPE (SECTION 376 IPC),2012,30,0,578,4,455,15,150,0,27,0,1240,19,1259
MADHYA PRADESH,RAPE (SECTION 376 IPC),2012,279,5,2807,52,1239,42,351,12,32,3,4708,114,4822
MAHARASHTRA,RAPE (SECTION 376 IPC),2012,104,2,1507,63,612,86,156,42,17,2,2396,195,2591
MANIPUR,RAPE (SECTION 376 IPC),2012,0,0,22,2,16,2,4,0,0,0,42,4,46
MEGHALAYA,RAPE (SECTION 376 IPC),2012,25,0,89,0,50,1,16,0,1,0,181,1,182
MIZORAM,RAPE (SECTION 376 IPC),2012,21,0,43,0,45,0,12,0,1,0,122,0,122
NAGALAND,RAPE (SECTION 376 IPC),2012,2,0,15,0,5,1,2,0,1,0,25,1,26
ODISHA,RAPE (SECTION 376 IPC),2012,86,1,959,16,432,30,130,8,4,0,1611,55,1666
PUNJAB,RAPE (SECTION 376 IPC),2012,15,1,436,36,269,44,88,6,0,0,808,87,895
RAJASTHAN,RAPE (SECTION 376 IPC),2012,109,0,1026,24,540,9,89,6,4,0,1768,39,1807
SIKKIM,RAPE (SECTION 376 IPC),2012,0,0,15,0,10,0,4,0,0,0,29,0,29
TAMIL NADU,RAPE (SECTION 376 IPC),2012,30,0,568,4,239,25,84,6,5,1,926,36,962
TRIPURA,RAPE (SECTION 376 IPC),2012,23,0,120,0,54,0,4,1,0,0,201,1,202
UTTAR PRADESH,RAPE (SECTION 376 IPC),2012,123,0,2339,3,963,7,151,7,0,0,3576,17,3593
UTTARAKHAND,RAPE (SECTION 376 IPC),2012,10,0,110,1,56,0,7,0,0,0,183,1,184
WEST BENGAL,RAPE (SECTION 376 IPC),2012,89,0,1141,0,547,0,165,0,21,0,1963,0,1963
TOTAL (STATES),RAPE (SECTION 376 IPC),2012,1240,10,16826,375,8463,383,2570,125,144,8,29243,901,30144
A & N ISLANDS,RAPE (SECTION 376 IPC),2012,0,0,11,1,4,1,0,0,0,0,15,2,17
CHANDIGARH,RAPE (SECTION 376 IPC),2012,3,0,21,0,7,1,2,0,0,0,33,1,34
D & N HAVELI,RAPE (SECTION 376 IPC),2012,0,0,4,0,1,0,0,0,0,0,5,0,5
DAMAN & DIU,RAPE (SECTION 376 IPC),2012,0,0,8,1,0,0,1,0,0,0,9,1,10
DELHI,RAPE (SECTION 376 IPC),2012,62,1,549,21,207,19,25,3,5,0,848,44,892
LAKSHADWEEP,RAPE (SECTION 376 IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,RAPE (SECTION 376 IPC),2012,0,0,12,0,3,0,0,0,0,0,15,0,15
TOTAL (UTs),RAPE (SECTION 376 IPC),2012,65,1,605,23,222,21,28,3,5,0,925,48,973
TOTAL (ALL-INDIA),RAPE (SECTION 376 IPC),2012,1305,11,17431,398,8685,404,2598,128,149,8,30168,949,31117
ANDHRA PRADESH,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,CUSTODIAL RAPE,2012,0,0,0,0,1,0,0,0,0,0,1,0,1
RAJASTHAN,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),CUSTODIAL RAPE,2012,0,0,0,0,1,0,0,0,0,0,1,0,1
A & N ISLANDS,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),CUSTODIAL RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),CUSTODIAL RAPE,2012,0,0,0,0,1,0,0,0,0,0,1,0,1
ANDHRA PRADESH,OTHER RAPE,2012,81,0,993,77,347,31,111,16,8,0,1540,124,1664
ARUNACHAL PRADESH,OTHER RAPE,2012,2,0,41,0,4,0,0,0,0,0,47,0,47
ASSAM,OTHER RAPE,2012,58,0,746,0,642,2,178,0,0,0,1624,2,1626
BIHAR,OTHER RAPE,2012,31,0,829,0,416,0,49,0,2,0,1327,0,1327
CHHATTISGARH,OTHER RAPE,2012,0,0,115,19,505,0,575,0,0,0,1195,19,1214
GOA,OTHER RAPE,2012,2,0,42,3,9,0,4,0,1,0,58,3,61
GUJARAT,OTHER RAPE,2012,23,0,406,5,163,11,34,3,2,0,628,19,647
HARYANA,OTHER RAPE,2012,44,1,569,16,234,20,46,4,5,1,898,42,940
HIMACHAL PRADESH,OTHER RAPE,2012,13,0,151,4,69,6,12,2,2,0,247,12,259
JAMMU & KASHMIR,OTHER RAPE,2012,3,0,210,11,123,16,21,3,1,0,358,30,388
JHARKHAND,OTHER RAPE,2012,24,0,512,10,186,6,38,4,0,0,760,20,780
KARNATAKA,OTHER RAPE,2012,13,0,437,25,233,29,89,5,10,1,782,60,842
KERALA,OTHER RAPE,2012,30,0,578,4,455,15,150,0,27,0,1240,19,1259
MADHYA PRADESH,OTHER RAPE,2012,279,5,2807,52,1239,42,351,12,32,3,4708,114,4822
MAHARASHTRA,OTHER RAPE,2012,104,2,1507,63,612,86,156,42,17,2,2396,195,2591
MANIPUR,OTHER RAPE,2012,0,0,22,2,16,2,4,0,0,0,42,4,46
MEGHALAYA,OTHER RAPE,2012,25,0,89,0,50,1,16,0,1,0,181,1,182
MIZORAM,OTHER RAPE,2012,21,0,43,0,45,0,12,0,1,0,122,0,122
NAGALAND,OTHER RAPE,2012,2,0,15,0,5,1,2,0,1,0,25,1,26
ODISHA,OTHER RAPE,2012,86,1,959,16,432,30,130,8,4,0,1611,55,1666
PUNJAB,OTHER RAPE,2012,15,1,436,36,268,44,88,6,0,0,807,87,894
RAJASTHAN,OTHER RAPE,2012,109,0,1026,24,540,9,89,6,4,0,1768,39,1807
SIKKIM,OTHER RAPE,2012,0,0,15,0,10,0,4,0,0,0,29,0,29
TAMIL NADU,OTHER RAPE,2012,30,0,568,4,239,25,84,6,5,1,926,36,962
TRIPURA,OTHER RAPE,2012,23,0,120,0,54,0,4,1,0,0,201,1,202
UTTAR PRADESH,OTHER RAPE,2012,123,0,2339,3,963,7,151,7,0,0,3576,17,3593
UTTARAKHAND,OTHER RAPE,2012,10,0,110,1,56,0,7,0,0,0,183,1,184
WEST BENGAL,OTHER RAPE,2012,89,0,1141,0,547,0,165,0,21,0,1963,0,1963
TOTAL (STATES),OTHER RAPE,2012,1240,10,16826,375,8462,383,2570,125,144,8,29242,901,30143
A & N ISLANDS,OTHER RAPE,2012,0,0,11,1,4,1,0,0,0,0,15,2,17
CHANDIGARH,OTHER RAPE,2012,3,0,21,0,7,1,2,0,0,0,33,1,34
D & N HAVELI,OTHER RAPE,2012,0,0,4,0,1,0,0,0,0,0,5,0,5
DAMAN & DIU,OTHER RAPE,2012,0,0,8,1,0,0,1,0,0,0,9,1,10
DELHI,OTHER RAPE,2012,62,1,549,21,207,19,25,3,5,0,848,44,892
LAKSHADWEEP,OTHER RAPE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,OTHER RAPE,2012,0,0,12,0,3,0,0,0,0,0,15,0,15
TOTAL (UTs),OTHER RAPE,2012,65,1,605,23,222,21,28,3,5,0,925,48,973
TOTAL (ALL-INDIA),OTHER RAPE,2012,1305,11,17431,398,8684,404,2598,128,149,8,30167,949,31116
ANDHRA PRADESH,KIDNAPPING AND ABDUCTION (SECTION 363 TO 369,2012, 371 TO 373 IPC),69,3,1402,69,704,65,207,20,15,1,2397,158,2555,,,,,,,,,,,,
ARUNACHAL PRADESH,KIDNAPPING AND ABDUCTION (SECTION 363 TO 369,2012, 371 TO 373 IPC),0,0,32,0,38,0,0,0,0,0,70,0,70,,,,,,,,,,,,
ASSAM,KIDNAPPING AND ABDUCTION (SECTION 363 TO 369,2012, 371 TO 373 IPC),63,0,1394,13,1381,26,314,1,7,0,3159,40,3199,,,,,,,,,,,,
BIHAR,KIDNAPPING AND ABDUCTION (SECTION 363 TO 369,2012, 371 TO 373 IPC),112,2,3515,84,1946,92,867,21,61,0,6501,199,6700,,,,,,,,,,,,
